book_name,edition,pages,publication_year,description,language,google_link
The Elements of Statistical Learning,2,764,2017,NULL,English,https://drive.google.com/file/d/1O6n0Mkhpfq1ElZHhJ--TmgVa0Vr9Ph_J/view?usp=sharing
A system of practical medicine vol. 5,3,1325,2018,Details diseases of the nervous system by american authors.,English,https://drive.google.com/file/d/15hzlt-M9Y-5uEkG_nfYwIPiZ58lXNhVK/view?usp=share_link
Alice Adventures in Wonderland,2,70,2020,"Alice's Adventures in Wonderland is an 1865 novel written by English author Charles Lutwidge Dodgson under the pseudonym Lewis Carroll. It tells of a girl named Alice falling through a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children. It is considered to be one of the best examples of the literary nonsense genre. Its narrative course and structure, characters and imagery have been enormously influential in both popular culture and literature, especially in the fantasy genre.",English,https://drive.google.com/file/d/1jywP_UBi2GHnpt4DtVAqqCxwgi6miEnz/view?usp=share_link
Atomic Habits,1,320,2018,"No matter your goals, Atomic Habits offers a proven framework for improving - every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.",English,https://drive.google.com/file/d/16GeNYE8l6i2i1QZ6pwPo5POou-lfhNHr/view?usp=share_link
Elon Musk,1,688,2023,"From the author of Steve Jobs and other bestselling biographies, this is the astonishingly intimate story of the most fascinating and controversial innovator of our era—a rule-breaking visionary who helped to lead the world into the era of electric vehicles, private space exploration, and artificial intelligence. Oh, and took over Twitter.",English,https://drive.google.com/file/d/1d5TNa9feghMt-hqs86IiZA_yMl2M15kY/view?usp=share_link
Sam Walton : Made in America,2,368,1993,"Meet a genuine American folk hero cut from the homespun cloth of America's heartland: Sam Walton, who parlayed a single dime store in a hardscrabble cotton town into Wal-Mart, the largest retailer in the world. The undisputed merchant king of the late twentieth century, Sam never lost the common touch. Here, finally, inimitable words. Genuinely modest, but always sure if his ambitions and achievements. Sam shares his thinking in a candid, straight-from-the-shoulder style.",English,https://drive.google.com/file/d/10eLpyZ2i52ViEc5yZc7zwSP4R1CHPs8o/view?usp=share_link
Meditations,3,211,2016,"Meditations is a series of personal writings by Marcus Aurelius, Roman Emperor from AD 161 to 180, recording his private notes to himself and ideas on Stoic philosophy.",English,https://drive.google.com/file/d/1YkGyiZIDJUe2OyiLr0T4mOmFraL71F4x/view?usp=share_link
Romeo and Juliet,1,336,2004,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.",English,https://drive.google.com/file/d/1XTp6lkoOBGf69b3LyWVWkJ_HYLCGsXXt/view?usp=share_link
Startupland,1,224,2014,"The real story of what it takes to risk it all and go for broke. Conventional wisdom says most startups need to be in Silicon Valley, started by young engineers around a sexy new idea, and backed by VC funding. But as Mikkel Svane reveals in Startupland, the story of founding Zendesk was anything but conventional.",English,https://drive.google.com/file/d/1X3fhF80g5gygeccmJ6yT4sU2P0swCjUS/view?usp=share_link
The lean startup,1,334,2011,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched. Eric Ries defines a startup as an organization dedicated to creating something new under conditions of extreme uncertainty. This is just as true for one person in a garage or a group of seasoned professionals in a Fortune 500 boardroom. What they have in common is a mission to penetrate that fog of uncertainty to discover a successful path to a sustainable business.",English,https://drive.google.com/file/d/1wM-LP3O6B6O3eFWjJM_ADyMvuUmkVVE9/view?usp=share_link
The Everything Store,2,386,2013,"Amazon.com started off delivering books through the mail. But its visionary founder, Jeff Bezos, wasn't content with being a bookseller. He wanted Amazon to become the everything store, offering limitless selection and seductive convenience at disruptively low prices. To do so, he developed a corporate culture of relentless ambition and secrecy that's never been cracked. Until now. Brad Stone enjoyed unprecedented access to current and former Amazon employees and Bezos family members, giving readers the first in-depth, fly-on-the-wall account of life at Amazon. Compared to tech's other elite innovators -- Jobs, Gates, Zuckerberg -- Bezos is a private man. But he stands out for his restless pursuit of new markets, leading Amazon into risky new ventures like the Kindle and cloud computing, and transforming retail in the same way Henry Ford revolutionized manufacturing.",English,https://drive.google.com/file/d/1GUBJDMRFIER3xheQrXSnYuX-a5YzLzTv/view?usp=share_link
The Time Machine,1,128,1984,"When the Time Traveller courageously stepped out of his machine for the first time, he found himself in the year 802,700--and everything has changed. In another, more utopian age, creatures seemed to dwell together in perfect harmony. The Time Traveller thought he could study these marvelous beings--unearth their secret and then return to his own time--until he discovered that his invention, his only avenue of escape, had been stolen. H.G. Well's famous novel of one man's astonishing journey beyond the conventional limits of the imagination first appeared in 1895. It won him immediate recognition, and has been regarded ever since as one of the great masterpieces in the literature of science fiction.",English,https://drive.google.com/file/d/1drGMiyhDgbm4MmdOF5ZoMuBBYnlp_oRe/view?usp=share_link
Theoretical Neuroscience,1,480,2005,"Theoretical neuroscience provides a quantitative basis for describing what nervous systems do, determining how they function, and uncovering the general principles by which they operate. This text introduces the basic mathematical and computational methods of theoretical neuroscience and presents applications in a variety of areas including vision, sensory-motor integration, development, learning, and memory.",English,https://drive.google.com/file/d/13bwXuA2TxrGyqgzXy0-fw6TO3fliC4cD/view?usp=share_link
